COUNTRY,kek,COUNTRY,GDP (BILLIONS),CODE
Afghanistan,0.7,Afghanistan,21.71,AFG
Albania,7,Albania,13.40,ALB
Algeria,1,Algeria,227.80,DZA
Andorra,13.8,Andorra,4.80,AND
Angola,7.5,Angola,131.40,AGO
Argentina,9.3,Argentina,536.20,ARG
Armenia,5.3,Armenia,10.88,ARM
Australia,12.2,Australia,1483.00,AUS
Austria,10.3,Austria,436.10,AUT
Azerbaijan,2.3,Azerbaijan,77.91,AZE
Bahamas,6.9,"Bahamas, The",8.65,BHM
Bangladesh,0.2,Bangladesh,186.60,BGD
Barbados,6.8,Barbados,4.28,BRB
Belarus,17.5,Belarus,75.25,BLR
Belgium,11,Belgium,527.80,BEL
Belize,8.5,Belize,1.67,BLZ
Benin,2.1,Benin,9.24,BEN
Bhutan,0.7,Bhutan,2.09,BTN
Bolivia,5.9,Bolivia,34.08,BOL
Bosnia and Herzegovina,7.1,Bosnia and Herzegovina,19.55,BIH
Botswana,8.4,Botswana,16.30,BWA
Brazil,8.7,Brazil,2244.00,BRA
Brunei,2.1,Brunei,17.43,BRN
Bulgaria,11.4,Bulgaria,55.08,BGR
Burkina Faso,6.8,Burkina Faso,13.38,BFA
Burma,0.7,Burma,65.29,MMR
Burundi,9.3,Burundi,3.04,BDI
Cambodia,5.5,Cambodia,16.90,KHM
Cameroon,8.4,Cameroon,32.16,CMR
Canada,10.2,Canada,1794.00,CAN
Cape Verde,6.9,Cabo Verde,1.98,CPV
Central African Republic,3.8,Central African Republic,1.73,CAF
Chad,4.4,Chad,15.84,TCD
Chile,9.6,Chile,264.10,CHL
China,6.7,China,10360.00,CHN
Colombia,6.2,Colombia,400.10,COL
Comoros,0.2,Comoros,0.72,COM
Cook Islands,6.4,Cook Islands,0.18,COK
Costa Rica,5.4,Costa Rica,50.46,CRI
Croatia,12.2,Croatia,57.18,HRV
Cuba,5.2,Cuba,77.15,CUB
Cyprus,9.2,Cyprus,21.34,CYP
Czech Republic,13,Czech Republic,205.60,CZE
Denmark,11.4,Denmark,347.20,DNK
Djibouti,1.3,Djibouti,1.58,DJI
Dominica,7.1,Dominica,0.51,DMA
Dominican Republic,6.9,Dominican Republic,64.05,DOM
Ecuador,7.2,Ecuador,100.50,ECU
Egypt,0.4,Egypt,284.90,EGY
El Salvador,3.2,El Salvador,25.14,SLV
Equatorial Guinea,6.6,Equatorial Guinea,15.40,GNQ
Eritrea,1.1,Eritrea,3.87,ERI
Estonia,10.3,Estonia,26.36,EST
Ethiopia,4.2,Ethiopia,49.86,ETH
Fiji,3,Fiji,4.17,FJI
Finland,12.3,Finland,276.30,FIN
France,12.2,France,2902.00,FRA
Gabon,10.9,Gabon,20.68,GAB
Gambia,3.4,"Gambia, The",0.92,GMB
Georgia,7.7,Georgia,16.13,GEO
Germany,11.8,Germany,3820.00,DEU
Ghana,4.8,Ghana,35.48,GHA
Greece,10.3,Greece,246.40,GRC
Grenada,12.5,Grenada,0.84,GRD
Guatemala,3.8,Guatemala,58.30,GTM
Guinea,0.7,Guinea,6.77,GIN
Guinea-Bissau,4,Guinea-Bissau,1.04,GNB
Guyana,8.1,Guyana,3.14,GUY
Haiti,6.4,Haiti,8.92,HTI
Honduras,4,Honduras,19.37,HND
Hungary,13.3,Hungary,129.70,HUN
Iceland,7.1,Iceland,16.20,ISL
India,4.3,India,2048.00,IND
Indonesia,0.6,Indonesia,856.10,IDN
Iran,1,Iran,402.70,IRN
Iraq,0.5,Iraq,232.20,IRQ
Ireland,11.9,Ireland,245.80,IRL
Israel,2.8,Israel,305.00,ISR
Italy,6.7,Italy,2129.00,ITA
Jamaica,4.9,Jamaica,13.92,JAM
Japan,7.2,Japan,4770.00,JPN
Jordan,0.7,Jordan,36.55,JOR
Kazakhstan,10.3,Kazakhstan,225.60,KAZ
Kenya,4.3,Kenya,62.72,KEN
Kiribati,3,Kiribati,0.16,KIR
Kuwait,0.1,Kuwait,179.30,KWT
Kyrgyzstan,4.3,Kyrgyzstan,7.65,KGZ
Laos,7.3,Laos,11.71,LAO
Latvia,12.3,Latvia,32.82,LVA
Lebanon,2.4,Lebanon,47.50,LBN
Lesotho,6.5,Lesotho,2.46,LSO
Liberia,4.7,Liberia,2.07,LBR
Libya,0.1,Libya,49.34,LBY
Lithuania,15.4,Lithuania,48.72,LTU
Luxembourg,11.9,Luxembourg,63.93,LUX
Macedonia,6.7,Macedonia,10.92,MKD
Madagascar,1.8,Madagascar,11.19,MDG
Malawi,2.5,Malawi,4.41,MWI
Malaysia,1.3,Malaysia,336.90,MYS
